username,reported_following,reported_followers,processed_following,processed_followers
SupplyChainAi_,0,0,0,0
cdgore,1840,366,1840,4
jyurts,49,16,49,0
asusevski,1764,383,1764,16
Yichen4NLP,0,0,0,0
HesamAsdz,0,0,0,0
JohnMai_Dev,0,0,0,0
tinytitans_icml,16,25,16,1
that_chrisr,2054,1452,2054,1
dkettmann,3275,732,0,0
svpino,514,418317,514,455
paulabartabajo_,242,60941,242,165
itsafiz,486,38093,486,67
avikumart_,527,29928,527,59
LiorOnAI,0,0,0,0
Sumanth_077,0,0,0,0
JasonWoods_,0,0,0,0
ShayneRedford,0,0,0,0
_onionesque,887,8393,887,125
MoZayed007,0,0,0,0
yeez_lee,62,5,62,0
payel791,2002,1390,2002,53
batznerjan,340,52,340,1
LorenzoTenti,0,0,0,0
BowenROIM,0,0,0,0
dj__Celt,0,0,0,0
hwchase17,468,76236,468,359
Weldonstake,0,0,0,0
csmboto,1600,500,1600,0
Coachbruce_1114,0,0,0,0
A_K_Nain,0,0,0,0
AyanangshuARLS,0,0,0,0
Ngesa254,0,0,0,0
MeganRisdal,0,0,0,0
JFPuget,0,0,0,0
envolveren,5080,2276,5080,1
SumukhaKaparthi,0,0,0,0
sudalairajkumar,586,8605,586,76
h_mylona,1486,87,1486,2
magras193,609,36864,609,76
DKaterenchuk,0,0,0,0
pabloduboue,446,838,446,8
auradeluxe,7822,22462,7822,16
Allertoxs,0,0,0,0
Sinan12704703,0,0,0,0
CatNinjaSneaky,0,0,0,0
michaelhkellar,253,87,253,0
Arkapravaroy7,0,0,0,0
jlowin,1198,11866,1197,39
taylormat2,669,36,669,0
AZabrovskiy,0,0,0,0
goocreate,6382,3646,6382,5
TyngsboroMenu,0,0,0,0
younghoax20,814,518,814,1
drksdeofthEmoon,0,0,0,0
IAugenstein,0,0,0,0
SvenNyholm,0,0,0,0
ssukumar84,1475,373,1475,0
Astro5369711370,0,0,0,0
bootcoff,89,16,89,0
aryanat0r,23,0,23,0
xuehui_yu,121,50,121,2
nshuman_chhabra,510,119,510,2
hereticreader,1275,179,1275,4
bw__park,32,13,32,0
srush_nlp,477,68599,477,769
hightableclock,165,3,165,0
nicolasvelezb,506,110,506,9
mkhrndz_,485,572,485,35
yining_shi,740,2417,740,48
kamilsindi,4984,1589,4984,56
agermanidis,411,4244,411,72
scottdreinhart,1391,84,1391,1
deeptigp,1044,1251,1044,56
MiSunKw,0,0,0,0
Lialialiacole,0,0,0,0
matamalaortiz,726,3163,726,51
runwayml,323,252227,323,315
KashifRizwanM,0,0,0,0
johnathanchewy,176,500,176,17
notiansans,982,9237,982,44
jongranskog,828,2636,828,53
rlognormal,1324,141,1324,0
jquery_rain,162292,149256,162292,26
askadeveloper,1346,1448,1346,1
onlyBilalShaikh,0,0,0,0
_Wei_Zhou_,0,0,0,0
shayankahmed4,1813,38,1813,1
Victor_ML_AI,0,0,0,0
Aidaptive_Katie,0,0,0,0
Aidaptive_Joey,0,0,0,0
PortSys,0,0,0,0
SevakAvakians,0,0,0,0
inababi,6065,9706,6066,8
ravkalia1,7419,245,7419,6
WindowOnTech,0,0,0,0
JacobZietek,0,0,0,0
rbkeeney,728,2168,728,0
Francois_Nguyen,0,0,0,0
mitsumistry,1704,128,1704,0
TheDanielMitch,0,0,0,0
joshua_obwengi,1757,200,1757,1
PlusUpCo,0,0,0,0
sfvmanu,1024,2809,1024,0
